Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
28	:	1742939474.895	    23.578	0	106	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o HCT-116_B_sorted.bam ../4-sambam/HCT-116_B.bam)) 2>&1 | tee HCT-116_B.log
30	:	1742939477.566	    21.105	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o HCT-116_D_sorted.bam ../4-sambam/HCT-116_D.bam)) 2>&1 | tee HCT-116_D.log
29	:	1742939477.375	    21.615	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o HCT-116_C_sorted.bam ../4-sambam/HCT-116_C.bam)) 2>&1 | tee HCT-116_C.log
31	:	1742939481.621	    18.533	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o HCT-116_E_sorted.bam ../4-sambam/HCT-116_E.bam)) 2>&1 | tee HCT-116_E.log
32	:	1742939483.702	    21.430	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o HCT-116_F_sorted.bam ../4-sambam/HCT-116_F.bam)) 2>&1 | tee HCT-116_F.log
33	:	1742939490.048	    22.327	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SiHa_A_sorted.bam ../4-sambam/SiHa_A.bam)) 2>&1 | tee SiHa_A.log
34	:	1742939493.109	    20.013	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SiHa_B_sorted.bam ../4-sambam/SiHa_B.bam)) 2>&1 | tee SiHa_B.log
35	:	1742939493.847	    23.207	0	106	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SiHa_C_sorted.bam ../4-sambam/SiHa_C.bam)) 2>&1 | tee SiHa_C.log
36	:	1742939498.476	    20.003	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SiHa_D_sorted.bam ../4-sambam/SiHa_D.bam)) 2>&1 | tee SiHa_D.log
38	:	1742939498.993	    20.088	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SiHa_F_sorted.bam ../4-sambam/SiHa_F.bam)) 2>&1 | tee SiHa_F.log
37	:	1742939498.674	    21.210	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SiHa_E_sorted.bam ../4-sambam/SiHa_E.bam)) 2>&1 | tee SiHa_E.log
42	:	1742939513.125	    58.561	0	108	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SUM_N1_sorted.bam ../4-sambam/SUM_N1.bam)) 2>&1 | tee SUM_N1.log
41	:	1742939512.379	    64.000	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SUM_A3_sorted.bam ../4-sambam/SUM_A3.bam)) 2>&1 | tee SUM_A3.log
40	:	1742939505.135	    76.201	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SUM_A2_sorted.bam ../4-sambam/SUM_A2.bam)) 2>&1 | tee SUM_A2.log
43	:	1742939517.057	    69.341	0	107	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SUM_N2_sorted.bam ../4-sambam/SUM_N2.bam)) 2>&1 | tee SUM_N2.log
39	:	1742939500.160	   112.277	0	109	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SUM_A1_sorted.bam ../4-sambam/SUM_A1.bam)) 2>&1 | tee SUM_A1.log
44	:	1742939518.483	   118.010	0	108	0	0	(time (/home/lexic/.conda/envs/samtools/bin/samtools sort -@ 7 -o SUM_N3_sorted.bam ../4-sambam/SUM_N3.bam)) 2>&1 | tee SUM_N3.log
