"","gene_name","baseMean.FaDu","log2FoldChange.FaDu","lfcSE.FaDu","stat.FaDu","pvalue.FaDu","padj.FaDu","baseMean.HCT116","log2FoldChange.HCT116","lfcSE.HCT116","stat.HCT116","pvalue.HCT116","padj.HCT116","baseMean.SiHa","log2FoldChange.SiHa","lfcSE.SiHa","stat.SiHa","pvalue.SiHa","padj.SiHa"
"24","AASDH",386.45793400168,0.412628905218519,0.0920852078898309,4.48094666531221,7.4312681941679e-06,5.63572703976068e-05,386.45793400168,0.304972904668336,0.100655067226998,3.02988128735296,0.00244649879590038,0.0105345425944602,386.45793400168,0.439838794725766,0.103002056754566,4.27019429110835,1.95302755951262e-05,0.000121280600300599
"36","ABCA2",2324.70459607154,0.647080792886932,0.106676538580427,6.06582104648131,1.31281242676016e-09,2.03080021245559e-08,2324.70459607154,0.40322133246757,0.104073615482562,3.8743857470305,0.000106893978648552,0.000681933138629977,2324.70459607154,0.224677698354581,0.107315053240523,2.09362705016802,0.0362932159647907,0.090753858200293
"63","ABCE1",2323.73221533874,0.24252580776286,0.0629559723191801,3.85230818981367,0.000117009625309017,0.000657348587996857,2323.73221533874,0.145252292552507,0.064491372228902,2.25227480099131,0.0243049115700952,0.071470141314269,2323.73221533874,0.137653333979693,0.0642618477535854,2.14206934272308,0.0321879024512816,0.0820252120533633
"70","ABHD10",1941.50711658089,0.463342534452431,0.0761554504049861,6.08416773833557,1.17097963428307e-09,1.82266883341607e-08,1941.50711658089,0.227327048229871,0.0655589219505701,3.46752267221951,0.000525279428685256,0.0027708886817923,1941.50711658089,0.414790654057429,0.0746270449795208,5.55818140958491,2.72599980924081e-08,2.8444648009509e-07
"111","ACAD10",519.110707224219,0.211095817316695,0.100830365864587,2.09357385056196,0.0362979590044868,0.0931574908585033,519.110707224219,0.446500784498987,0.104271000977398,4.28211852110032,1.85122327650233e-05,0.000141747435244271,519.110707224219,0.491793697547724,0.100296306030402,4.90340788222701,9.41881227452817e-07,7.54774674793379e-06
"182","ACSS2",927.742296511563,1.08425219275544,0.101183554497477,10.7156958276502,8.59087995929869e-27,1.03748206184331e-24,927.742296511563,0.96104881745116,0.0987069295252649,9.73638651382799,2.10921396095601e-22,1.63920936010168e-20,927.742296511563,0.564788392411714,0.0977509942671842,5.77782759802902,7.56712861827957e-09,8.6506038522605e-08
"227","ACYP1",328.318772354054,0.469371517470727,0.10545917732318,4.45074131417068,8.5574373741391e-06,6.38199684235731e-05,328.318772354054,0.318148552647635,0.117194605047392,2.71470305752539,0.00663352196966734,0.0245020372772242,328.318772354054,0.823865407124742,0.120349880614622,6.84558557862539,7.61636713976826e-12,1.33640674580352e-10
"234","ADAM11",127.407361186797,1.01978532387881,0.25722502764984,3.96456493054415,7.35299310035278e-05,0.000434407092376105,127.407361186797,0.391986948347615,0.1299573263686,3.01627433636035,0.00255901618167502,0.0109575896996283,127.407361186797,1.14984366444448,0.248047934116033,4.63557041320329,3.55954527273054e-06,2.57571374456492e-05
"274","ADAT2",539.135722153301,0.857007659799699,0.125176172756947,6.84641206808374,7.57251546076843e-12,1.61120678291028e-10,539.135722153301,1.05461033437969,0.121434028775852,8.68463597074863,3.79957210612568e-18,1.9244481833559e-16,539.135722153301,0.440579317385464,0.127664998695969,3.45105801813927,0.000558393518056079,0.00248446487722978
"318","ADIRF-AS1",366.986242128923,1.07844198179651,0.327576369457508,3.29218491426134,0.000994122239852781,0.00436183275922376,366.986242128923,0.908172475140465,0.330978968560016,2.74389783463171,0.00607144302987301,0.0226790076671419,366.986242128923,1.11980966360344,0.330544752136286,3.38777020771378,0.000704632722607907,0.00305881392330146
"356","AFDN",2014.73621848533,0.271896969523136,0.0814146929909157,3.33965479122392,0.000838825891211093,0.00376054280107461,2014.73621848533,0.387157555075006,0.0837944587277678,4.62032407575789,3.83141103122013e-06,3.40498917385655e-05,2014.73621848533,0.468008045904282,0.0855194857641055,5.4725311047265,4.43652857885086e-08,4.43359048045427e-07
"394","AGO4",365.3305665156,0.495692365079744,0.106709701294681,4.64524180150108,3.39678365297016e-06,2.79253889892772e-05,365.3305665156,0.285893160030464,0.104252790486961,2.7423070278989,0.00610092858264382,0.0227758508503366,365.3305665156,0.41464643011341,0.100454931384715,4.12768616132371,3.66431752916259e-05,0.000214319967112649
"408","AHCYL1",3922.92407821773,0.755318031502865,0.0513940396294991,14.6966075628219,6.77708556901962e-49,3.39067272568864e-46,3922.92407821773,0.314641938713042,0.053914572087611,5.83593500847506,5.34897445405937e-09,8.19631764499383e-08,3922.92407821773,0.507321634202405,0.0515542310484064,9.84054313070949,7.53032014877286e-23,3.80727552470302e-21
"418","AHSA2P",2335.16156909591,0.653337020587043,0.123485702468804,5.29079081646795,1.21788598677229e-07,1.31320206369271e-06,2335.16156909591,1.30255475012334,0.126683913127678,10.281927025814,8.50106430973377e-25,7.8834024391135e-23,2335.16156909591,0.657983885835181,0.124150817849025,5.29987556453577,1.15881632493262e-07,1.08508352487844e-06
"427","AIMP1",1253.19837696228,0.255022024677406,0.0640530776912453,3.98141719132823,6.85055879868399e-05,0.000406782418188387,1253.19837696228,0.160942749669529,0.0652945499872272,2.46487263793092,0.0137061960950885,0.0449169892226254,1253.19837696228,0.233715199001251,0.0664437008567922,3.51749219245001,0.00043564516619461,0.00198606814437361
"454","AKAP8L",1118.73380132194,0.469119067727357,0.090205054804019,5.20058514178139,1.98662086748963e-07,2.05479728355646e-06,1118.73380132194,0.386770400460264,0.0896170520060435,4.31581258033551,1.59016857132046e-05,0.00012373277622646,1118.73380132194,0.607568176182753,0.0890525625851334,6.82257936824585,8.94201961830055e-12,1.55097788551903e-10
"478","ALAS1",1269.38635152459,0.22539702716009,0.0847551228593263,2.65939119142327,0.0078282011153493,0.0257775780756715,1269.38635152459,0.24793727932431,0.0761456670107417,3.25609176539663,0.00112957237473305,0.00540056570495032,1269.38635152459,0.261412444223747,0.0741565497408476,3.52514302697869,0.00042325420084856,0.00193497498439669
"480","ALCAM",3545.98487070738,0.608851978744567,0.0791088696315237,7.69638071660612,1.39974346391567e-14,4.3305490806762e-13,3545.98487070738,0.755355105023764,0.0810039331842672,9.32491886913056,1.11068533949641e-20,7.01339334768853e-19,3545.98487070738,0.551181755656421,0.0869071013528702,6.34219467772201,2.26514821568771e-10,3.22931777232164e-09
"496","ALDH5A1",694.927832229592,0.439645021472641,0.0745689443859752,5.89581929974765,3.72826802652947e-09,5.35567690012778e-08,694.927832229592,0.831546720457864,0.0861725895616363,9.64978219510378,4.92602426503231e-22,3.6369216073677e-20,694.927832229592,0.405846058360961,0.0791346069660616,5.12855340944595,2.91977066573752e-07,2.56273562191378e-06
"502","ALDOC",564.622605864329,1.17648536846203,0.164334816443973,7.15907556243948,8.12229094160266e-13,1.99480275846289e-11,564.622605864329,0.384012865856952,0.161769447416576,2.37382813621209,0.0176047426423251,0.0551020120270785,564.622605864329,0.75118842274209,0.172841195154234,4.34611911860347,1.38567338383953e-05,8.87745093755067e-05
"508","ALG13",761.435359836608,0.253144169979472,0.102828520793161,2.46180892253297,0.0138238291847362,0.0419603177073869,761.435359836608,0.509201634709271,0.0969196917441606,5.25385115806408,1.48951269960942e-07,1.7584677602523e-06,761.435359836608,0.228118936049869,0.0952371651188534,2.39527222135585,0.0166080297186587,0.0471081143711578
"528","ALKBH6",156.122410444414,0.623209580223513,0.141249800938608,4.41210944073742,1.02368343130892e-05,7.47839823347958e-05,156.122410444414,1.0465511237251,0.159511417412614,6.56097940010116,5.34555062054346e-11,1.14268585425337e-09,156.122410444414,0.416733706551466,0.148706858758746,2.80238389829451,0.00507264710678016,0.0172560032560186
"561","AMN1",195.273607334053,0.982806313761018,0.128188779985239,7.66686689641786,1.76248508567837e-14,5.35813825265867e-13,195.273607334053,0.896137077068286,0.125162966741067,7.15976219165676,8.08171336272312e-13,2.24185794379817e-11,195.273607334053,1.21549353373448,0.141762254624967,8.57416903357013,9.98047548427822e-18,3.32971067304568e-16
"617","ANKRA2",242.958479524542,0.307247193394357,0.118787725442091,2.58652307930705,0.00969496775000101,0.0310564547428055,242.958479524542,0.955533892388719,0.129377653795437,7.38561771957575,1.51747207482749e-13,4.5873061336045e-12,242.958479524542,0.5220812843255,0.121174560103237,4.30850571176576,1.64361232717045e-05,0.000103641089752822
"629","ANKRD18A",464.690720793377,0.283545886592331,0.109319813148553,2.59372824034218,0.0094941498780318,0.0304993686505623,464.690720793377,1.01518348020977,0.106172128828954,9.56167585040378,1.15865089615878e-21,8.20718177220073e-20,464.690720793377,0.390307401651956,0.113421740061137,3.44120449431981,0.000579130667390122,0.00256419222290121
