"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"30","ADAMTS2",4.65540812754075,2.45359978793721,1.13146449789055,2.16851681383868,0.0301193867486956,0.0823077315657256,4.65540812754075,2.91320521234679,1.17331059276355,2.48289347280603,0.0130320053325603,0.039130595116308
"33","ADAMTSL1",2025.04638130009,0.852449548050363,0.0959033791092031,8.88862890930774,6.18675795415152e-19,1.4607347980282e-16,2025.04638130009,0.563858994759636,0.111455834348316,5.05903524976085,4.21382972496492e-07,4.23864450001193e-06
"46","ADORA2B",2547.30648348478,0.37287465324597,0.104302065797437,3.57494983819518,0.000350295050556275,0.00208364956508247,2547.30648348478,0.952605325468371,0.120523663242027,7.90388625638948,2.70339729338824e-15,1.04813086496975e-13
"48","ADRB2",1437.34995420346,0.42794957283487,0.133096882524269,3.21532379059921,0.00130297461907182,0.0062647500826836,1437.34995420346,0.360511987227313,0.153093005378696,2.35485603235458,0.0185298832191188,0.0526690840761955
"55","AGAP1",1456.63272032096,0.331392568589332,0.138654654415484,2.39005729729275,0.0168457444821234,0.0515829920957013,1456.63272032096,0.369979369641468,0.160970732615047,2.29842632651896,0.0215375365634894,0.0596449429517496
"58","AGO2",4471.21294002638,1.24299049531129,0.181526553858379,6.84743068653763,7.51881009995314e-12,4.22676473809429e-10,4471.21294002638,0.438661839823621,0.209852113380674,2.09033796589831,0.0365874511007493,0.0921231770852951
"66","AKAP8L",2165.0734994594,0.431006335948838,0.105486141739833,4.0859048292036,4.39053737363294e-05,0.000351322348903263,2165.0734994594,0.829161108040071,0.120960055370786,6.85483406483568,7.13953428666337e-12,1.65728727941445e-10
"69","AKT1",5611.89374730268,0.275356070704876,0.0718681163267635,3.83140792855779,0.000127412054298148,0.000875858950897361,5611.89374730268,0.420218661178843,0.0831175986982705,5.05571224096957,4.28787462311377e-07,4.30117772443755e-06
"77","AMPD3",1169.37003698116,0.930124165527078,0.156075968455268,5.95943228629494,2.53115715930595e-09,7.22931144790159e-08,1169.37003698116,0.771583867884512,0.176927378334462,4.36102018324103,1.29457422995051e-05,9.1991997674584e-05
"80","ANGEL1",486.298757716361,0.371661388074824,0.128241051966066,2.89814675080152,0.00375374903439852,0.0151795816170653,486.298757716361,1.54543314079921,0.150023283162747,10.3012886281305,6.95236580130569e-25,8.56323368696876e-23
"87","ANKRD11",7167.2385704809,0.416616577811662,0.137640706411513,3.02684132240702,0.00247123646039699,0.0107493626236084,7167.2385704809,0.525306774293261,0.158839499458778,3.3071545559081,0.000942488758434812,0.00408735364316664
"88","ANKRD27",2797.5338289212,0.421095493351088,0.0990202461471921,4.25262014320926,2.11283796383954e-05,0.000186697278760832,2797.5338289212,0.668936227449446,0.114491495921682,5.84267173788204,5.13701824676344e-09,7.42305286320022e-08
"97","ANTXR2",7573.47147636519,0.886588342437604,0.11179553485752,7.93044501792971,2.18361971176618e-15,2.47868832409972e-13,7573.47147636519,0.554604900216637,0.128955197520906,4.3007564710738,1.70216041438279e-05,0.000117362210444839
"106","AP3S2",406.055896766399,0.431824951615999,0.186128578288986,2.32003572791246,0.020338944673273,0.0600570338960011,406.055896766399,0.456124219655881,0.217791130659958,2.09431953575757,0.0362315252106582,0.0914424303685778
"109","APBB2",4342.2189110059,0.27010195000108,0.066872355219206,4.03906740110606,5.36641442040245e-05,0.000417157447570178,4342.2189110059,0.35305051139446,0.0785565528157229,4.49422102599948,6.98250751561441e-06,5.29862871239373e-05
"116","APPL2",2032.60137997614,0.215884530071929,0.0708298808026062,3.04793016203955,0.00230423471785277,0.0101198879919982,2032.60137997614,0.824560765126066,0.082149919053144,10.0372681389089,1.04528974455471e-23,1.16110528312316e-21
"118","ARAP3",1592.8960591271,0.203885164010301,0.0821637130601848,2.48145022196058,0.0130848984875422,0.0422636569269876,1592.8960591271,0.368099752308661,0.0944048013104364,3.89916346625442,9.6525594763293e-05,0.000552873649953848
"121","ARFGEF3",1106.68972797862,1.25454244638181,0.211497502210948,5.93171282529154,2.99790639433732e-09,8.41314206512285e-08,1106.68972797862,0.669740532304558,0.246244046467657,2.71982426341635,0.00653166190678961,0.0216756360858381
