"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"38","ABCB6",108.174677637635,0.407891057486429,0.233343355185347,1.74802945283116,0.0804589275186394,0.178006832646185,108.174677637635,0.655291270195277,0.275613023690062,2.37757730538952,0.0174267896904332,0.0500443226225192
"85","ABL1",6141.86893036344,0.128150263824256,0.0974651189431138,1.31483206724502,0.188566347672561,0.338620107959204,6141.86893036344,-0.0214362785584054,0.112542209123231,-0.19047323422391,0.848938315225945,0.9153145438862
"92","ABRAXAS1",599.342790255498,-0.370033032299376,0.134427240399509,-2.75266405231307,0.00591125212320412,0.0221303282447566,599.342790255498,-0.44876694631032,0.16010431252136,-2.80296601161477,0.00506350052320597,0.0174395549692158
"124","ACD",952.787175215162,-0.0179033715048074,0.105570214898925,-0.16958733599196,0.865334682693729,0.925952917568212,952.787175215162,0.469791033482626,0.11909442848111,3.9446936307112,7.99020678140464e-05,0.000465928128773309
"171","ACTA1",3.78221744462154,-0.65348416544747,1.41847628603114,-0.460694459176264,0.64501783083883,0.781059313197719,3.78221744462154,0.327405760481952,1.64613234534706,0.198893947626625,0.842345704028534,0.9106467230201
"172","ACTA2",55.2778371135014,0.746461030969999,0.494778560380244,1.50867699359555,0.13138134762987,0.259727970257548,55.2778371135014,1.47705664696724,0.548631325859573,2.69225721781936,0.00709701864478183,0.0232385115775153
"174","ACTB",147121.115270248,-0.13646689635385,0.0942866898262692,-1.4473611981214,0.147795787236904,0.283190300688224,147121.115270248,0.300127576814307,0.108900495131372,2.75597991039663,0.00585165909480603,0.0197263339360562
"180","ACTC1",8.95074715915017,-0.115050986499248,1.06783667289967,-0.107742119576051,0.914200257372761,0.954471660928199,8.95074715915017,1.637344297839,1.12965700106847,1.44941720919742,0.147221105600404,0.276226459896468
"189","ACTG2",3.17905291883452,-0.375685142605805,1.22166748017728,-0.307518329415865,0.758448873649436,0.859334609986315,3.17905291883452,2.9967552346322,1.37550719714596,2.17865471067703,0.029357328566699,0.07697954975071
"194","ACTN1",24852.4895954501,0.369231013250614,0.113909131009282,3.24145228726681,0.00118922339573892,0.00578855631988585,24852.4895954501,0.879945497525009,0.131577825652409,6.68764279362372,2.26793881910176e-11,4.84808739771623e-10
"196","ACTN2",2.84690538965672,-0.0224493405919477,1.11571707025471,-0.0201209976887982,0.983946849801944,0.991315221466088,2.84690538965672,-2.49660677915059,1.37275583660086,-1.81868232688236,0.0689599095283096,0.153672384236255
"197","ACTN3",3.9490892597456,1.33616584949429,0.919568736210645,1.45303531631617,0.146213948699837,0.280941471742265,3.9490892597456,2.5851317509461,1.39831144300372,1.84875248206005,0.0644935616374473,0.145837445611043
"200","ACTR1A",7351.20323163153,-0.0615841270280294,0.0859973038713201,-0.716116950831148,0.473919137915011,0.641651509610752,7351.20323163153,0.0399164389315728,0.099365243026199,0.401714298842386,0.687894300060072,0.808819676400264
"201","ACTR2",10268.2307822233,0.0466655490801554,0.0790467796234643,0.590353576735758,0.554953627057672,0.711079509980988,10268.2307822233,-0.0914753890588707,0.0916340252495277,-0.998268806917245,0.318149029144982,0.48365542484111
