"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"1972","CASP3",2734.98013062922,0.50265762717584,0.149200954911948,3.36899738659506,0.000754421441483572,0.00397479764528149,2734.98013062922,1.08855086814553,0.171628254364182,6.34249222063234,2.260776293902e-10,4.12493577549942e-09
"9661","NF2",393.722576898661,0.292977703152301,0.10386144138555,2.82085150411807,0.00478963684411871,0.018559056725526,393.722576898661,0.669430481017654,0.126559890024568,5.28943633632824,1.22693877910817e-07,1.37809885449954e-06
"11357","PPP2R5D",3862.75619437062,0.614538934218747,0.0902495847028231,6.80932700402247,9.80563666006481e-12,5.27775726372121e-10,3862.75619437062,0.404107060544318,0.104635234801115,3.86205527528486,0.000112437117920047,0.00063164333138702
"13186","SAV1",2176.79867397976,0.308697127822983,0.089715009916736,3.44086377641248,0.00057986038739243,0.00318195467615282,2176.79867397976,0.215598579023922,0.104689785596049,2.05940415100113,0.0394555384467443,0.0982373458631398
"13628","SIKE1",2264.6788382653,0.399288654765725,0.0914205181572798,4.36760437168808,1.25616772026405e-05,0.000118131800267848,2264.6788382653,0.444487225072069,0.107446679352334,4.13681677043298,3.5215708947717e-05,0.000225784570186743
