"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"4","A4GALT",469.93783480722,0.363951060986785,0.149787904275117,2.42977604064953,0.0151081552616396,0.0473765167864118,469.93783480722,0.753446475558503,0.173311923953336,4.34734355474219,1.3779629148332e-05,9.71549709344625e-05
"9","AAGAB",1510.93155706483,-0.285671805358074,0.108116702549019,-2.64225414411389,0.00823562327440584,0.0289760415146391,1510.93155706483,0.356471775616612,0.125465103017248,2.84120258975602,0.00449437512048118,0.0157673233736548
"12","AAMP",3752.52525127553,0.25103903118287,0.116306090862216,2.15843408820496,0.0308940978052645,0.0840357425400343,3752.52525127553,0.308971258162903,0.133883999090378,2.30775343029853,0.0210128544502779,0.0584242540965497
"15","AARD",26.7718513314038,-1.66724981034501,0.546358038653342,-3.05157001891001,0.0022764794664769,0.0100178673937309,26.7718513314038,-2.57183198138679,0.607929865565253,-4.23047480813515,2.33198560031033e-05,0.000156149893784094
"16","AARS1",5654.54821601361,0.914237994367374,0.129495474214405,7.05999958619154,1.66503100092097e-12,1.05301317729673e-10,5654.54821601361,0.324503802882252,0.148990116942608,2.1780223382686,0.0294043737186615,0.0770805835456907
"21","AASDHPPT",1914.7978551749,-0.419677748171804,0.144726123179804,-2.89980646859728,0.00373393125132331,0.0151097930983623,1914.7978551749,-0.434987788650125,0.167979050923684,-2.58953593473836,0.00961053916795196,0.030167895661397
"27","ABCA10",33.6132929818484,-2.57398494926074,0.527087868065264,-4.88340769198283,1.04267972999548e-06,1.34477586735324e-05,33.6132929818484,-1.9816900985389,0.588759236910935,-3.3658751732479,0.000763012283317553,0.00339854868431676
"32","ABCA2",2738.50800980859,0.309276648995137,0.133168856248507,2.32243977839679,0.0202092675561731,0.0597837804685456,2738.50800980859,1.26649390141459,0.155253235691349,8.15760068236156,3.4174516635852e-16,1.49821742907685e-14
"33","ABCA3",1149.43263014557,0.770820371124877,0.139631578702654,5.52038713797215,3.38253594461963e-08,7.05511737424316e-07,1149.43263014557,0.405121770746649,0.160167255381453,2.52936700314814,0.0114268471829399,0.0350601927458538
"35","ABCA5",371.905471900858,-1.059954652002,0.146198325534588,-7.25011485683009,4.16418355660273e-13,2.97336138791618e-11,371.905471900858,-0.815232040461927,0.173588363944865,-4.69635188635605,2.64849122195306e-06,2.21290180270798e-05
"36","ABCA7",996.673976983666,-0.310143736739595,0.142244533153594,-2.1803561083413,0.0292310749730417,0.0804513328602147,996.673976983666,0.469044603623965,0.164992871462816,2.8428173863843,0.00447166834564067,0.0156967869457484
"40","ABCB8",1565.42990605478,-0.692260749627176,0.137113172668178,-5.04882744783749,4.44530015468869e-07,6.40834737747711e-06,1565.42990605478,-0.675554362126686,0.158768214472918,-4.25497234675976,2.09074853024639e-05,0.000141567288289608
"43","ABCC10",1772.30429404942,-0.389609455989292,0.107262412816268,-3.63230180787246,0.000280904307084134,0.00173318936231563,1772.30429404942,0.567142716986302,0.123041341834754,4.60936713245522,4.03896556215328e-06,3.24875657344946e-05
"48","ABCC5",1743.64625850689,-1.00195458772944,0.108561541925991,-9.22936953504673,2.72229479374819e-20,8.4572624925777e-18,1743.64625850689,-0.604946192909864,0.12441268116848,-4.86241585044407,1.15961681787562e-06,1.05190491505291e-05
"62","ABHD10",1674.12233423926,0.315782430333006,0.0717762124658318,4.39954156794398,1.08479797513098e-05,0.000103723555851077,1674.12233423926,0.172987424853894,0.0839215675011191,2.06129878176533,0.0392745443707642,0.0978405201399363
"64","ABHD12",2985.60062986696,-0.417942429771992,0.085782347621827,-4.87212627491263,1.10403564384913e-06,1.40953591790054e-05,2985.60062986696,-0.275917567546717,0.0996359402848359,-2.76925742616502,0.00561842241081969,0.0190393329908855
"65","ABHD12B",27.2067713997595,1.1177099797575,0.494566579897084,2.25997878787136,0.0238225673753267,0.0682053392210647,27.2067713997595,1.47430699738758,0.536041288229702,2.75036089525218,0.0059529660791947,0.0200280931602767
"66","ABHD13",538.910857203067,-0.379610748362939,0.127116663569515,-2.98631774704616,0.00282359089018825,0.0119662032929137,538.910857203067,-0.368923746385668,0.153811702462974,-2.39854146646922,0.0164605126429806,0.0476473288431345
"73","ABHD17C",1449.18011118952,0.54574622898002,0.148729538820104,3.66938695103551,0.000243132825668117,0.00152727778536042,1449.18011118952,-0.708305461562755,0.177075828650801,-4.00001212452071,6.33392384902456e-05,0.000378988847357696
"75","ABHD2",3358.76368671168,0.322050765923382,0.111553318317536,2.8869671541878,0.00388974834466906,0.0156262227239178,3358.76368671168,-0.640566856660748,0.129148436263186,-4.95992731460849,7.0519560918744e-07,6.76285577327743e-06
"79","ABHD6",575.247917854996,-0.507274094491368,0.118068756863312,-4.29642953790594,1.73571105150181e-05,0.000156425140237736,575.247917854996,-0.424717836959223,0.137113450945756,-3.09756507497755,0.00195117552330061,0.00765835335462407
"82","ABI2",2671.50768615217,0.620276415066893,0.097995579763772,6.32963666894089,2.4573915003571e-10,9.37833807938008e-09,2671.50768615217,0.760823093231372,0.114984850230443,6.61672465291376,3.67244607769976e-11,7.59056035192145e-10
"89","ABLIM3",2792.80962234124,0.459112999730151,0.0945392156081338,4.85632334451747,1.19585369176222e-06,1.50827472747331e-05,2792.80962234124,0.410161492354735,0.108334476765153,3.78606612227315,0.00015305096485322,0.000831175995690584
