...1,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4,EMC10,1348.32988168787,-0.898985937272588,0.0600521666968623,-14.9700832912588,1.15176914999386e-50,5.89043537535611e-47
5,PKM,36580.7426731461,-0.62943310758654,0.0427546664199274,-14.7219744718478,4.658571890164749e-49,1.82726230805656e-45
16,SPATS2L,945.128624136202,-1.07375086212329,0.0836018036253382,-12.8436327394957,9.33872887445144e-38,1.19401485365408e-34
28,KRT8,15282.4482887995,-0.882962485333415,0.0759482989283631,-11.6258362305949,3.0459598843909097e-31,2.2254000483923197e-28
31,PRKAR1B,449.099336916563,-1.00505226843166,0.0874457425203538,-11.4934385536006,1.42331455557929e-30,9.3924986656405e-28
32,ARHGAP18,1110.82431838326,-1.54209106609696,0.134587963753346,-11.4578675766511,2.14736787453732e-30,1.37277201904406e-27
42,MYO1B,3528.53422628173,-0.590513239122442,0.0535138345644832,-11.0347771548848,2.5969448018519e-28,1.2648976145591498e-25
58,MISP,1037.15797536511,-0.958602799381896,0.0938688256949152,-10.2121528876634,1.74939490529031e-24,6.17023647888341e-22
63,RHOD,738.437468447173,-0.712918180934119,0.070492916009111,-10.1133308323063,4.82165504697844e-24,1.56566027454028e-21
64,PFKFB4,299.256167627085,-1.0608352162589,0.105052825513067,-10.0981121743075,5.6315829176903e-24,1.80008268354985e-21
69,GAPDH,27141.5421458868,-0.520579943916637,0.0521927222181872,-9.97418647259664,1.9771502855450198e-23,5.7780804844849404e-21
71,ANO1,402.813368480904,-2.29380166496188,0.230369841944553,-9.9570397131842,2.3495459511687798e-23,6.7696706370506604e-21
72,ZW10,509.725599806024,-0.558125478538504,0.0560762072118204,-9.95298195597037,2.4473771117268198e-23,6.953610218693821e-21
79,S100A10,3321.29712509761,-0.813814726259337,0.08258744415576,-9.85397640741227,6.58845723658268e-23,1.70607683150344e-20
81,LASP1,3449.13607215856,-0.494089821886299,0.0503282496964572,-9.81734562330865,9.48070027953974e-23,2.39440352615487e-20
89,RNPEP,1449.32110480127,-0.429166061267666,0.0444859530824579,-9.6472264058764,5.050318200899279e-22,1.1608354992786098e-19
90,IFT22,270.240535382979,-0.726739435389703,0.0753744776944415,-9.64171769568755,5.3288708195331595e-22,1.21125233727989e-19
91,CPVL,363.04367886506,-1.04863528547858,0.109136658147165,-9.60846065182385,7.36416569448488e-22,1.6554806330997499e-19
93,SLC1A3,571.311507773542,-2.00508132753174,0.209261504187691,-9.58170178177317,9.54588885055663e-22,2.0997876152240498e-19
97,C15orf39,501.228373521496,-0.643402241143077,0.0680253688835832,-9.45826905024474,3.1308282434948902e-21,6.602819935791239e-19
98,ALDH1A1,32.5158977993861,-3.59990189498512,0.381936592530446,-9.42539145342078,4.28504189471619e-21,8.944806330633579e-19
102,ADAM10,2975.25476651775,-0.323544255447626,0.0344701148036986,-9.38622506162671,6.21892307115156e-21,1.24725989477007e-18
103,DPY19L1,1026.41116120654,-0.49288907212292,0.052682151372225997,-9.35590250748132,8.28890016903036e-21,1.6462721432801399e-18
107,IDH1,1808.65404997169,-0.527835560346924,0.0565280019766519,-9.33759449988944,9.85475340876667e-21,1.88409991105738e-18
