"","variable","var_label","var_type","reference_row","row_type","header_row","N_obs","N_event","N","coefficients_type","coefficients_label","label","term","var_class","var_nlevels","contrasts","contrasts_type","n_obs","n_ind","n_event","exposure","estimate","std.error","statistic","nevent","ci","conf.low","conf.high","p.value"
"1","Row_mode == reference","Row_mode == reference","dichotomous",NA,"label",TRUE,190,27,190,"prop_hazard","HR","Row_mode == reference",NA,"logical",2,"contr.treatment","treatment",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA
"2","Row_mode == reference","Row_mode == reference","dichotomous",TRUE,"level",FALSE,190,27,190,"prop_hazard","HR","FALSE","Row_mode == referenceFALSE","logical",2,"contr.treatment","treatment",30,30,19,67.482546201232,NA,NA,NA,27,"—",NA,NA,NA
"3","Row_mode == reference","Row_mode == reference","dichotomous",FALSE,"level",FALSE,190,27,190,"prop_hazard","HR","TRUE","Row_mode == referenceTRUE","logical",2,"contr.treatment","treatment",160,160,8,613.995893223819,0.0272417774106718,0.563136764788587,-6.39809683027442,27,"0.01,  0.08",0.00903425941131997,0.0821444683736571,1.57325512292939e-10
