"","variable","var_label","var_type","reference_row","row_type","header_row","N_obs","N_event","N","coefficients_type","coefficients_label","label","term","var_class","var_nlevels","contrasts","contrasts_type","n_obs","n_ind","n_event","exposure","estimate","std.error","statistic","nevent","ci","conf.low","conf.high","p.value"
"1","Row_mode == reference","Row_mode == reference","dichotomous",NA,"label",TRUE,190,27,190,"prop_hazard","HR","Row_mode == reference",NA,"logical",2,"contr.treatment","treatment",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA
"2","Row_mode == reference","Row_mode == reference","dichotomous",TRUE,"level",FALSE,190,27,190,"prop_hazard","HR","FALSE","Row_mode == referenceFALSE","logical",2,"contr.treatment","treatment",79,79,9,279.737166324435,NA,NA,NA,27,"—",NA,NA,NA
"3","Row_mode == reference","Row_mode == reference","dichotomous",FALSE,"level",FALSE,190,27,190,"prop_hazard","HR","TRUE","Row_mode == referenceTRUE","logical",2,"contr.treatment","treatment",111,111,18,401.741273100616,1.37988072075764,0.413048026269475,0.779563248632485,27,"0.61,  3.10",0.614121680245539,3.10047807261477,0.435647995205294
