"","variable","var_label","var_type","reference_row","row_type","header_row","N_obs","N_event","N","coefficients_type","coefficients_label","label","term","var_class","var_nlevels","contrasts","contrasts_type","n_obs","n_ind","n_event","exposure","estimate","std.error","statistic","nevent","ci","conf.low","conf.high","p.value"
"1","Row_mode == ""high""","Row_mode == ""high""","dichotomous",NA,"label",TRUE,169,30,169,"prop_hazard","HR","Row_mode == ""high""",NA,"logical",2,"contr.treatment","treatment",NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
"2","Row_mode == ""high""","Row_mode == ""high""","dichotomous",TRUE,"level",FALSE,169,30,169,"prop_hazard","HR","FALSE","Row_mode == ""high""FALSE","logical",2,"contr.treatment","treatment",144,144,12,320.878850102669,NA,NA,NA,30,"—",NA,NA,NA
"3","Row_mode == ""high""","Row_mode == ""high""","dichotomous",FALSE,"level",FALSE,169,30,169,"prop_hazard","HR","TRUE","Row_mode == ""high""TRUE","logical",2,"contr.treatment","treatment",25,25,18,30.7214236824093,13.1474321894747,0.377265173206806,6.82868881560229,30,"6.28,  27.5",6.27642353016852,27.5403615364681,8.56942291687163e-12
