"","variable","var_label","var_type","reference_row","row_type","header_row","N_obs","N_event","N","coefficients_type","coefficients_label","label","term","var_class","var_nlevels","contrasts","contrasts_type","n_obs","n_ind","n_event","exposure","estimate","std.error","statistic","nevent","ci","conf.low","conf.high","p.value"
"1","Row_mode == reference","Row_mode == reference","dichotomous",NA,"label",TRUE,190,27,190,"prop_hazard","HR","Row_mode == reference",NA,"logical",2,"contr.treatment","treatment",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA
"2","Row_mode == reference","Row_mode == reference","dichotomous",TRUE,"level",FALSE,190,27,190,"prop_hazard","HR","FALSE","Row_mode == referenceFALSE","logical",2,"contr.treatment","treatment",58,58,10,206.439425051335,NA,NA,NA,27,"—",NA,NA,NA
"3","Row_mode == reference","Row_mode == reference","dichotomous",FALSE,"level",FALSE,190,27,190,"prop_hazard","HR","TRUE","Row_mode == referenceTRUE","logical",2,"contr.treatment","treatment",132,132,17,475.039014373717,0.709799639649442,0.403852851702462,-0.848756038254775,27,"0.32,  1.57",0.321644110734289,1.5663757290513,0.396017056964362
