...1,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
17,EDEM1,1388.75729286848,0.81633799161136,0.0638949103581032,12.7762600657258,2.2251461026793e-37,2.6776361072064997e-34
20,HLTF,2033.95224019007,0.607469849648455,0.0495256990613386,12.2657501289601,1.38325312653673e-34,1.4148604604780999e-31
34,RESF1,1154.80456294176,0.46587637862917,0.0407996687692013,11.4186313929306,3.37506921230956e-30,2.03069973165343e-27
39,BTAF1,2803.65495496722,0.676531880259604,0.0605677364408765,11.1698392579027,5.72844514845468e-29,3.00478980517788e-26
50,ACSS2,927.742296511563,0.867682542210639,0.082013363239651,10.5797702707934,3.6986396736338995e-26,1.5132614360705798e-23
57,SIKE1,1543.6176540569,0.379345328832441,0.0371030019339189,10.2241141972302,1.54635186895506e-24,5.54977547073923e-22
66,PFKFB2,1001.07027236516,0.733970969543461,0.072823678196635,10.0787407024626,6.85996537666865e-24,2.1262774501592502e-21
74,FGFR1OP2,1166.36780721205,0.490738024196979,0.0494235063880264,9.92924339168028,3.10603346182792e-23,8.58650358494781e-21
106,WHRN,388.234724699493,0.855190005911337,0.0915602520309874,9.34018842173905,9.61628332436104e-21,1.8558519619476797e-18
122,MAFF,219.224593756566,0.859829092036416,0.0951158282869676,9.03981080249108,1.5694321556372299e-19,2.63162898425171e-17
124,PCID2,1557.46360541924,0.461291616895502,0.0511819462689737,9.0127799062447,2.0089818256073399e-19,3.31433396826205e-17
130,ENTPD4,1191.42420550118,0.415776932129077,0.0466997275119254,8.90319824720396,5.426014359421449e-19,8.53845967312959e-17
135,RDH11,2018.74367320594,0.361630741778713,0.041032138352804,8.81335353934827,1.2145675504300299e-18,1.84047469475164e-16
160,FST,434.74670389521,2.24392339014234,0.261144194806071,8.59266043347699,8.49783926434435e-18,1.0865018614418301e-15
168,KLHL15,501.352424842606,0.482159393598673,0.056591985448773,8.51992362125418,1.59658578008239e-17,1.94412829185389e-15
206,OSGIN2,544.137777577017,0.450913307713987,0.0542864013152735,8.30619265210203,9.88217413810617e-17,9.81357457976883e-15
