...1,gene_name,baseMean.FaDu,log2FoldChange.FaDu,lfcSE.FaDu,stat.FaDu,pvalue.FaDu,padj.FaDu,baseMean.HCT116,log2FoldChange.HCT116,lfcSE.HCT116,stat.HCT116,pvalue.HCT116,padj.HCT116,baseMean.SiHa,log2FoldChange.SiHa,lfcSE.SiHa,stat.SiHa,pvalue.SiHa,padj.SiHa
209,ACTR2,4857.37290390734,-0.151878584708246,0.0537415734900952,-2.82609114033921,0.00471198550303072,0.0166926113986589,4857.37290390734,-0.120924738654834,0.0548485213317848,-2.20470371340272,0.0274748923912268,0.0789448085422839,4857.37290390734,-0.290338748182495,0.0541789975069139,-5.35888003733263,8.37394328059463e-8,8.05253163408945e-7
233,ADAM10,2975.25476651775,-0.295708989724444,0.0562920893268191,-5.25311803595749,1.49545627982799e-7,1.58708696461018e-6,2975.25476651775,-0.39682396267893,0.0568183276628041,-6.9840838159464,2.86720859400488e-12,7.397706474531929e-11,2975.25476651775,-0.279726052407036,0.0560381845660801,-4.99170439893861,5.98488020485219e-7,4.9621891368802e-6
386,AGFG2,740.765920903588,-0.638481313945853,0.0877511367319273,-7.27604607443847,3.43746228686075e-13,8.88548034282065e-12,740.765920903588,-0.907149265900727,0.085702290854814,-10.5848893518786,3.50194255553431e-26,3.59482830460089e-24,740.765920903588,-1.55516935933843,0.0798581268316586,-19.4741527386027,1.8190897812525998e-84,1.55152540168836e-81
396,AGPAT2,924.579538080458,-0.93148493479593,0.108940888279338,-8.55037029262594,1.22694243729497e-17,5.80675378904653e-16,924.579538080458,-0.444050651809813,0.110798500690301,-4.00773159422981,6.13047346321983e-5,4.1642097876846e-4,924.579538080458,-0.807524469414429,0.110230322987562,-7.32579246370845,2.37491084038461e-13,4.98274074393849e-12
397,AGPAT3,2207.36370483111,-0.537985486519833,0.0728527950335591,-7.38455520165032,1.5296388373694e-13,4.1145170017166696e-12,2207.36370483111,-0.32071538201589,0.0761646899984699,-4.21081451289743,2.54451606489718e-5,1.8779135094873e-4,2207.36370483111,-0.258411972195456,0.0732673979850996,-3.52697078512341,4.2034314158296e-4,0.00192525599076185
474,AKT1S1,1653.34350883346,-0.294398402916726,0.0593553054879716,-4.95993408670748,7.0517102572375e-7,6.55775349519309e-6,1653.34350883346,-0.139757628914244,0.0582131444841072,-2.40079161077443,0.0163596500089813,0.0518388645712123,1653.34350883346,-0.166446717674381,0.0558406518915249,-2.98074452994779,0.00287548563808075,0.010599098414549
481,ALDH16A1,521.735177076323,-0.409354368297613,0.096073870577292,-4.26082935805407,2.03669698041841e-5,1.375418466028e-4,521.735177076323,-0.509480990811167,0.107683910791254,-4.73126381710635,2.23126316977516e-6,2.08424952832136e-5,521.735177076323,-0.303849006742534,0.101088359435251,-3.00577641619711,0.00264903702312312,0.00987199074517596
493,ALDH3B1,572.367291398309,-1.01702296796056,0.11554537326195,-8.80193589106245,1.3447600028784e-18,6.98756451347289e-17,572.367291398309,-0.501325528569136,0.128318165759156,-3.90689444166531,9.34899710675025e-5,6.0527267609166e-4,572.367291398309,-0.331071539399384,0.107316820284727,-3.08499206854063,0.00203557581404318,0.0078313180513993
616,ANKMY2,336.544542180806,-0.683772955696473,0.113349722203409,-6.03241845153732,1.6152385993473601e-9,2.46810149329596e-8,336.544542180806,-0.671674630890034,0.114330882880632,-5.87483113894344,4.2327458176237106e-9,6.62738896534296e-8,336.544542180806,-0.430366797247158,0.110660950672809,-3.88905747357642,1.0063428625702e-4,5.3456344259521e-4
727,AP2M1,5726.80848276938,-0.338030774256164,0.0638182359474154,-5.29677402137365,1.17866410420258e-7,1.27720217380516e-6,5726.80848276938,-0.159399253267043,0.0634541912686698,-2.51203663745606,0.012003662589782,0.0401292767456383,5726.80848276938,-0.15080854009935,0.0624005415779283,-2.41678255165485,0.0156583681715611,0.0449079252078237
766,APLP2,9631.13269912806,-0.266730673608149,0.0556559450954557,-4.79249203567882,1.64722313015638e-6,1.43291228177687e-5,9631.13269912806,-0.270809536189418,0.057253282729409,-4.73002635445937,2.2449069278934e-6,2.09597438656817e-5,9631.13269912806,-0.483607919896249,0.0557064727012745,-8.68135957000172,3.9106569138199595e-18,1.34352638666211e-16
814,ARF3,2566.69504300229,-0.261353111913916,0.0725931891511385,-3.60024287360872,3.1792008056086e-4,0.00159882209382574,2566.69504300229,-0.337192508870078,0.0728913504587616,-4.62596051174611,3.72866340109632e-6,3.31674803741636e-5,2566.69504300229,-0.637426038830325,0.0742842579885888,-8.58090335812796,9.41309429101714e-18,3.15652428558775e-16
854,ARHGAP35,2117.95131529138,-0.242613314944019,0.0838630393203316,-2.89297069257541,0.00381616903961967,0.0139160633179467,2117.95131529138,-0.578677933463847,0.0835248168631283,-6.92821553158415,4.26182108326205e-12,1.07786452588008e-10,2117.95131529138,-0.234256815838875,0.082046999459976,-2.85515396517517,0.0043015969881417,0.0149883531290188
897,ARID1B,1479.77791270612,-0.463119747457022,0.0699494740473522,-6.62077526334956,3.5731986476110095e-11,6.99109290707445e-10,1479.77791270612,-0.379960611470385,0.0711418217613697,-5.34088953674651,9.24916050073165e-8,1.13885109026328e-6,1479.77791270612,-0.198047118707485,0.0674492280198837,-2.93623996184362,0.00332217224175835,0.0119954082213461
1277,BAG1,917.939217413917,-0.949849256163054,0.104995063556056,-9.0466087070459391,1.47477381210361e-19,8.409743691332939e-18,917.939217413917,-0.831717999596909,0.0894018084393006,-9.30314513896666,1.3635139773733398e-20,8.553599447600849e-19,917.939217413917,-1.04950451953316,0.0803257795238233,-13.0656001815942,5.17746679701176e-39,7.52343453014664e-37
1309,BAZ1B,3570.28204371437,-0.275141017012915,0.0597972179057784,-4.60123441606348,4.19994429692057e-6,3.36591416857557e-5,3570.28204371437,-0.348631372719233,0.0598575428993597,-5.82435154923411,5.733477512509671e-9,8.72798051785374e-8,3570.28204371437,-0.649006563025072,0.060188992683648,-10.7828115090119,4.15003840912725e-27,2.8366307829912697e-25
1366,BCL9,473.219414116199,-0.655076953854625,0.100070496482477,-6.54615472972432,5.90374142304681e-11,1.12984061266637e-9,473.219414116199,-0.540299810183593,0.0786267313727118,-6.87170636182785,6.343843544163989e-12,1.56726410133555e-10,473.219414116199,-0.34779233632385,0.0853877889028379,-4.07309219260379,4.63930493523637e-5,2.6572042310812e-4
1367,BCL9L,2093.09553547447,-0.226824642399391,0.0806047139996431,-2.81403693585955,0.00489236067112432,0.0172409192417102,2093.09553547447,-0.478152714684724,0.0811312714845718,-5.89356860721271,3.77943074780864e-9,5.94671742909301e-8,2093.09553547447,-0.856267852845267,0.0803194828327658,-10.6607739821746,1.55299596624287e-26,1.01213029467729e-24
1441,BLTP2,3612.32767759838,-0.310111076499904,0.0543906527799209,-5.70155092189639,1.18722258133701e-8,1.53427709385921e-7,3612.32767759838,-0.119594114482918,0.0555264644835336,-2.15382188646971,0.0312541426363408,0.0876229767850443,3612.32767759838,-0.378321086670659,0.0555495015203814,-6.81052172055677,9.72454286088404e-12,1.68076085728601e-10
1622,C15orf39,501.228373521496,-0.638413205848345,0.101460105998851,-6.29225841588985,3.12880040967292e-10,5.37141411507672e-9,501.228373521496,-0.816725746706771,0.0976334453646527,-8.36522508917277,6.00002709403782e-17,2.62960091546005e-15,501.228373521496,-0.466512184913327,0.100947001569315,-4.62135752088683,3.81237119789207e-6,2.7465033341553e-5
1678,C1orf226,126.632233699918,-0.539623647566534,0.186497747348092,-2.89345933256419,0.0038102362877445,0.0138973229816067,126.632233699918,-0.786029373700581,0.162463625850009,-4.83818682236148,1.31028952777368e-6,1.29184991140953e-5,126.632233699918,-1.01597616372933,0.178881112479664,-5.67961675576472,1.34996874439901e-8,1.47780897649974e-7
1713,C2CD3,944.890498055769,-0.304034784847053,0.0763006983988992,-3.98469203070151,6.75676980048742e-5,4.0203124694643e-4,944.890498055769,-0.551307274134029,0.0765544978531508,-7.2015007555998,5.95533968954134e-13,1.6754316629583198e-11,944.890498055769,-0.672344793590819,0.0748358195930159,-8.98426445046331,2.6047066903964196e-19,9.7326725991441e-18
1810,CABLES1,148.225696789682,-0.767921623790399,0.242204323768013,-3.17055291104516,0.0015214912061721,0.00626890176735991,148.225696789682,-0.895534925410375,0.126726145916069,-7.06669424006228,1.58668025161092e-12,4.2302658486004594e-11,148.225696789682,-0.360253872498896,0.138681871716937,-2.59769981497083,0.00938504990031537,0.0290205743843768
1858,CALM3,3389.17904842714,-0.305839801393532,0.0833400247859633,-3.66978294257772,2.427565093656e-4,0.00126252130546516,3389.17904842714,-0.267977012700425,0.0812703147614126,-3.29735418753,0.00097600337207077005,0.00477577382877148,3389.17904842714,-0.518078595567024,0.0818480876727042,-6.32975809573863,2.45545848442998e-10,3.4829160585005805e-9
1869,CAMK2G,847.722844214417,-0.407501923778268,0.0768359476422284,-5.30353221744229,1.13583146926829e-7,1.23691199367892e-6,847.722844214417,-0.330279959915468,0.0784681068058793,-4.20909810826125,2.56392050423886e-5,1.890780560867e-4,847.722844214417,-0.325948802755859,0.083780880883689,-3.89049147392429,1.0004139223238e-4,5.3213448791287e-4
1948,CASKIN2,563.642160198548,-1.43018776658417,0.106150521029342,-13.4732053381899,2.24887156314786e-41,7.72156665534945e-39,563.642160198548,-0.205128045719441,0.0909497963776804,-2.25539862527697,0.0241083189628018,0.0710281534466915,563.642160198548,-0.715533383956041,0.093664604747924,-7.63931461496826,2.18381090639464e-14,5.18641871074377e-13
2003,CBX6,2378.44653693849,-0.279028388578165,0.0840268566670749,-3.3207048275495,8.9790445369485e-4,0.00398762487665497,2378.44653693849,-0.598525360591914,0.0850357378250846,-7.03851552182753,1.9429866156851398e-12,5.144492562026479e-11,2378.44653693849,-0.199492380018137,0.0880642444905597,-2.26530507554087,0.0234939648014151,0.0631276540983235
2557,CGN,243.404770140151,-1.75259652919829,0.15409307247258,-11.3736231037262,5.6588849129490996e-30,8.46946441971382e-28,243.404770140151,-0.497041576441891,0.124653534944347,-3.9873845267509,6.68057016396403e-5,4.4870617518353e-4,243.404770140151,-4.06751534274289,0.427267131681269,-9.51984143207429,1.7344351051981e-21,7.80376455474109e-20
2782,CLPTM1,2100.58427087527,-0.174090914511384,0.0654630295733366,-2.65937760054864,0.00782851694400212,0.0257775780756715,2100.58427087527,-0.39263265627326,0.0645374095175512,-6.08379944606363,1.1736740141529602e-9,1.99909905729194e-8,2100.58427087527,-0.248774617977066,0.0624017510661436,-3.98666085048437,6.70097043823346e-5,3.7039430004741e-4
2852,CNP,1662.81298679702,-0.775787615919187,0.0789285247901811,-9.82898917699899,8.446225653900959e-23,6.94374917490421e-21,1662.81298679702,-0.428747623257948,0.077972831433746,-5.49867967308918,3.82645520318148e-8,5.05872135539061e-7,1662.81298679702,-0.178579180940459,0.0764087836662856,-2.33715513284967,0.0194311191540496,0.0537123539133332
3062,CPTP,369.163272198223,-0.269769649244044,0.108432037441402,-2.48791460171382,0.0128494583568255,0.0394748886467318,369.163272198223,-0.358837602331923,0.103973737898033,-3.45123306698694,5.5803145216064e-4,0.0029251697858208,369.163272198223,-0.352165444256363,0.0977672518581414,-3.60207981264881,3.1568140433487e-4,0.00149006787989349
3063,CPVL,363.04367886506,-1.21356514316233,0.118590408980216,-10.2332486547439,1.40718091490651e-24,1.4000650568709098e-22,363.04367886506,-0.521168863452579,0.136588810897707,-3.81560436779032,1.3585002037849e-4,8.4558268196677e-4,363.04367886506,-1.32539942087845,0.106862281859291,-12.4028740339239,2.5211579668271397e-35,2.99742762637867e-33
3133,CRYBG1,1339.62934611516,-0.240102552308605,0.0978862751811352,-2.45287249784818,0.0141720561947203,0.0428612911961568,1339.62934611516,-0.275372539135521,0.105581805440533,-2.60814387466238,0.00910346824574233,0.0318770843570357,1339.62934611516,-0.877353248061974,0.102654765472089,-8.54663925271467,1.26724508238056e-17,4.16407818778215e-16
3229,CTSD,1298.49914261702,-0.885768981124699,0.0974011897420707,-9.09402629957924,9.54377685961412e-20,5.645982317185909e-18,1298.49914261702,-0.424274845825338,0.105490103162593,-4.02193981336239,5.77208086667114e-5,3.9557609538243e-4,1298.49914261702,-0.948558814233591,0.0989890293008785,-9.5824640460958,9.4756806933511191e-22,4.3634842291424595e-20
3257,CUX1,1555.03950953456,-0.216199640587036,0.0612669078676169,-3.52881593199042,4.1742336046928e-4,0.00203380647333826,1555.03950953456,-0.27467212303189,0.0598368311885738,-4.59035208877072,4.42498939174374e-6,3.88725350895976e-5,1555.03950953456,-0.852336352363176,0.0620794575906224,-13.7297648117971,6.735178973168569e-43,1.212146843272e-40
3326,CYP2J2,27.1266054993692,-0.98744088893608,0.282085148492843,-3.50050647548052,4.6437495637547e-4,0.00223458913467737,27.1266054993692,-0.780611635058023,0.351095715410715,-2.22335847688958,0.0261916372782325,0.0758447230642557,27.1266054993692,-2.52648296250711,0.521345942738094,-4.84607772957451,1.25926195844896e-6,9.86145382790148e-6
3328,CYP2S1,272.119928084074,-0.604532091350322,0.119465417172679,-5.06031038653229,4.18574530715524e-7,4.05177369118825e-6,272.119928084074,-0.274256292190685,0.122479309638965,-2.23920507879345,0.0251425755468525,0.0734641332439131,272.119928084074,-1.30608850700908,0.199165707003363,-6.55779816043845,5.460805124155419e-11,8.488479724291351e-10
3334,CYP3A5,81.9040179079595,-0.631428309704492,0.214245910276326,-2.94721289610664,0.00320652357601972,0.0119517740186635,81.9040179079595,-0.361222064445793,0.166258596975917,-2.17265194712377,0.0298065229788817,0.0844525483546293,81.9040179079595,-0.505587114400639,0.175832215235574,-2.87539523814376,0.00403522029002368,0.0141912722175322
3350,CYREN,287.694659380697,-0.426559879556495,0.128266798802023,-3.32556736069231,8.82387757849e-4,0.00392989202322928,287.694659380697,-0.331692471751317,0.132367462772323,-2.50584595945485,0.0122158826538105,0.0407535772371475,287.694659380697,-0.666712482650991,0.129344891027474,-5.15453279487767,2.54264061584307e-7,2.25390786086731e-6
3442,DCTN1,1713.36290384168,-0.527397549309643,0.0722566654463581,-7.29894669303793,2.90029189196645e-13,7.5575909702715e-12,1713.36290384168,-0.216396541677938,0.0695490658571344,-3.11142269146294,0.00186188218262916,0.00831178845994172,1713.36290384168,-0.309334919992014,0.06979237469717,-4.4322165757251,9.32692617152933e-6,6.15840830383342e-5
3509,DDX49,608.494663745567,-0.627179153320927,0.111597309174548,-5.62002039260608,1.90934920579721e-8,2.38818671019392e-7,608.494663745567,-0.2896438533315,0.107207722079059,-2.70170700127277,0.00689845238521085,0.0253227056490367,608.494663745567,-0.292254216935957,0.104871393071128,-2.78678682887084,0.00532334843694445,0.0179676748602098
3588,DGKZ,1208.4451317606,-0.276410519139319,0.078644688499728,-3.51467498202724,4.4029249670664e-4,0.00213159024324857,1208.4451317606,-0.329317484343651,0.0779540613715319,-4.22450708211483,2.39464321744542e-5,1.779619481304e-4,1208.4451317606,-0.606250934095462,0.0806964043322487,-7.51273788605704,5.79033908915758e-14,1.3146884480556e-12
3593,DHCR24,6119.43415369721,-0.160555678080644,0.0760003721349376,-2.11256436738993,0.0346380712501998,0.0896132898706258,6119.43415369721,-0.612831022100764,0.0767366783999316,-7.98615518522769,1.3921242077908e-15,5.3446432585504404e-14,6119.43415369721,-0.345718864823242,0.0765021046471486,-4.51907651976118,6.21099458720117e-6,4.26166774456542e-5
3627,DHX9,6079.67142555105,-0.314630716048532,0.07532475546946,-4.17698954464043,2.95392597737293e-5,1.9080117222345e-4,6079.67142555105,-0.58725079497099,0.0754071817320113,-7.78773031271761,6.822360634774471e-15,2.39418710685797e-13,6079.67142555105,-0.287528653218421,0.0750970392048501,-3.8287615099458,1.2878973398228e-4,6.6538535989742e-4
4002,E2F3,946.267100236504,-0.211051078984857,0.0837700919851487,-2.51940846647601,0.0117552199831361,0.0366860910933338,946.267100236504,-0.284973364520727,0.0807397333967973,-3.52953066020442,4.1629746446785e-4,0.00226316797732227,946.267100236504,-0.400285306541479,0.0838215708861844,-4.7754450591841,1.7931024230848e-6,1.36709250810939e-5
4029,ECE1,1766.34611620726,-0.334889085505008,0.0968577163594684,-3.45753645752015,5.4513847636069e-4,0.00256817860090184,1766.34611620726,-0.670960853581711,0.0929528254457228,-7.21829433763151,5.264367657194309e-13,1.49268539951997e-11,1766.34611620726,-0.340627863375329,0.0904789195631657,-3.76472072190836,1.6673533136423e-4,8.410758651655e-4
4092,EEIG1,694.597563897645,-0.421687061713426,0.0822764583487922,-5.12524566779212,2.97150036458949e-7,2.94809874698734e-6,694.597563897645,-0.75593263778585,0.0809396905205823,-9.33945549981591,9.68307939801379e-21,6.17529541941105e-19,694.597563897645,-0.243427162195215,0.0807642486632366,-3.01404601942421,0.00257788699980418,0.0096379663188791
4145,EHD1,784.201499965766,-0.217575065103393,0.0877144997542239,-2.48049143200997,0.0131201416925143,0.0401821230109415,784.201499965766,-0.325823963827669,0.0809847730759579,-4.02327439408973,5.73945620601945e-5,3.9418462014579e-4,784.201499965766,-0.741345675054219,0.0777860555178241,-9.53057293005872,1.56417566971413e-21,7.05389289949012e-20
4151,EHMT1,1780.78516733805,-0.501097913637557,0.0599119618903087,-8.36390426597954,6.067616029441911e-17,2.64303543013824e-15,1780.78516733805,-0.239978685542213,0.0648088642398784,-3.70286824737393,2.1317560488168e-4,0.00126183130166786,1780.78516733805,-0.222580278136129,0.062231980667287,-3.5766221121278,3.4806276278465e-4,0.00162647623095441
4185,EIF3B,4834.54856330956,-0.306667426037278,0.0691680446119524,-4.43365759083907,9.26477292632008e-6,6.84249003428051e-5,4834.54856330956,-0.326272868894309,0.0683832811880605,-4.77123740226837,1.83097578312831e-6,1.73910990266853e-5,4834.54856330956,-0.669317533216632,0.0692833324493261,-9.66058515886446,4.43324383545433e-22,2.11598404671795e-20
4215,EIF4G1,11380.7112927698,-0.216435322528111,0.0640839449255286,-3.37737202008442,7.3181999184941e-4,0.00333808280210342,11380.7112927698,-0.618085441823893,0.0644989544835133,-9.58287536245077,9.43800898532661e-22,6.73501934878549e-20,11380.7112927698,-0.185566810522953,0.0641426124106519,-2.8930348102276,0.00381539008625459,0.0135126389821369
