...1,gene_name,baseMean.FaDu,log2FoldChange.FaDu,lfcSE.FaDu,stat.FaDu,pvalue.FaDu,padj.FaDu,baseMean.HCT116,log2FoldChange.HCT116,lfcSE.HCT116,stat.HCT116,pvalue.HCT116,padj.HCT116,baseMean.SiHa,log2FoldChange.SiHa,lfcSE.SiHa,stat.SiHa,pvalue.SiHa,padj.SiHa
209,ACTR2,4857.37290390734,-0.151878584708246,0.0537415734900952,-2.82609114033921,0.00471198550303072,0.0166926113986589,4857.37290390734,-0.120924738654834,0.0548485213317848,-2.20470371340272,0.0274748923912268,0.0789448085422839,4857.37290390734,-0.290338748182495,0.0541789975069139,-5.35888003733263,8.37394328059463e-8,8.05253163408945e-7
210,ACTR3,2999.78589598593,-0.317696978597525,0.0718678614476619,-4.42057092277456,9.844046934053e-6,7.22763546592042e-5,2999.78589598593,-0.313098465396865,0.0728250601294686,-4.29932312915689,1.71320536306721e-5,1.3212812434487e-4,2999.78589598593,-0.45430811812116,0.0723978117158628,-6.27516367351223,3.4926668348047903e-10,4.86616798994074e-9
233,ADAM10,2975.25476651775,-0.295708989724444,0.0562920893268191,-5.25311803595749,1.49545627982799e-7,1.58708696461018e-6,2975.25476651775,-0.39682396267893,0.0568183276628041,-6.9840838159464,2.86720859400488e-12,7.397706474531929e-11,2975.25476651775,-0.279726052407036,0.0560381845660801,-4.99170439893861,5.98488020485219e-7,4.9621891368802e-6
397,AGPAT3,2207.36370483111,-0.537985486519833,0.0728527950335591,-7.38455520165032,1.5296388373694e-13,4.1145170017166696e-12,2207.36370483111,-0.32071538201589,0.0761646899984699,-4.21081451289743,2.54451606489718e-5,1.8779135094873e-4,2207.36370483111,-0.258411972195456,0.0732673979850996,-3.52697078512341,4.2034314158296e-4,0.00192525599076185
428,AIMP2,293.331774514962,-0.4105523366251,0.112383234068684,-3.6531457741658,2.5904706667171e-4,0.00133652716101604,293.331774514962,-0.412603674590668,0.114308346981472,-3.60956732807575,3.0670816109758e-4,0.00173469942852956,293.331774514962,-0.360071501920168,0.115770316785973,-3.11022299943983,0.00186946147571797,0.00727354735604112
443,AKAP1,1489.41191007326,-0.747495952153441,0.0686649886307172,-10.8861294097564,1.34224381340581e-27,1.7031906823586399e-25,1489.41191007326,-0.303002003722553,0.0687429965861891,-4.40775088037737,1.04449582196465e-5,8.46354655906853e-5,1489.41191007326,-0.515523348589418,0.0793484876135025,-6.49695241956563,8.196336997545909e-11,1.24641506109192e-9
518,ALG8,713.575552347541,-0.603492636235827,0.0897787854459274,-6.7219959953602,1.79251881269942e-11,3.64139175512524e-10,713.575552347541,-0.326861603843655,0.0877799580175084,-3.72364730202378,1.9636520362339e-4,0.00117172099743696,713.575552347541,-0.689089431354826,0.0859376055917287,-8.01848534887677,1.0705704985357502e-15,2.92906296649592e-14
604,ANKEF1,242.582600133232,-0.626972092832961,0.149275428572284,-4.20010244706388,2.66794235412564e-5,1.7406236424401e-4,242.582600133232,-0.576627644478779,0.128307989984716,-4.49408992025723,6.98681025300275e-6,5.8541601753226e-5,242.582600133232,-0.513431842901076,0.132105583221611,-3.88652644634845,1.0168885274565e-4,5.3972679229206e-4
683,ANP32A,2777.00253809185,-0.344471286725662,0.0553995671525139,-6.21794184379347,5.03718171665755e-10,8.392586968638461e-9,2777.00253809185,-0.244052142384598,0.0554233498155999,-4.40341738990134,1.06558871293187e-5,8.62717879942649e-5,2777.00253809185,-0.195096150713267,0.0555185758453128,-3.51406979993235,4.412968376668e-4,0.00200949862221673
766,APLP2,9631.13269912806,-0.266730673608149,0.0556559450954557,-4.79249203567882,1.64722313015638e-6,1.43291228177687e-5,9631.13269912806,-0.270809536189418,0.057253282729409,-4.73002635445937,2.2449069278934e-6,2.09597438656817e-5,9631.13269912806,-0.483607919896249,0.0557064727012745,-8.68135957000172,3.9106569138199595e-18,1.34352638666211e-16
