"","variable","var_label","var_type","reference_row","row_type","header_row","N_obs","N_event","N","coefficients_type","coefficients_label","label","term","var_class","var_nlevels","contrasts","contrasts_type","n_obs","n_ind","n_event","exposure","estimate","std.error","statistic","nevent","ci","conf.low","conf.high","p.value"
"1","Row_mode == ""high""","Row_mode == ""high""","dichotomous",NA,"label",TRUE,256,151,256,"prop_hazard","HR","Row_mode == ""high""",NA,"logical",2,"contr.treatment","treatment",NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA
"2","Row_mode == ""high""","Row_mode == ""high""","dichotomous",TRUE,"level",FALSE,256,151,256,"prop_hazard","HR","FALSE","Row_mode == ""high""FALSE","logical",2,"contr.treatment","treatment",122,122,45,904.999315537303,NA,NA,NA,151,"—",NA,NA,NA
"3","Row_mode == ""high""","Row_mode == ""high""","dichotomous",FALSE,"level",FALSE,256,151,256,"prop_hazard","HR","TRUE","Row_mode == ""high""TRUE","logical",2,"contr.treatment","treatment",134,134,106,733.815195071869,2.8818723133782,0.178507737615507,5.92937990178524,151,"2.03,  4.09",2.03108768512689,4.08903470363809,3.0408082187944e-09
